"시도별","품목별",2020,2021,2022,2023,2024
"전국","총지수",100.00,102.50,107.72,111.59,114.18
"전국","전기밥솥",100.00,99.31,103.92,117.14,104.76
"전국","전자레인지",100.00,96.02,94.24,97.19,97.54
"전국","전기레인지",100.00,107.95,108.78,106.71,106.55
"전국","냉장고",100.00,101.06,103.87,100.15,98.46
"전국","김치냉장고",100.00,102.39,104.46,107.49,106.56
"전국","에어컨",100.00,98.26,102.24,106.61,107.41
"전국","선풍기",100.00,98.05,96.74,92.64,92.86
"전국","공기청정기",100.00,99.71,96.07,99.46,95.21
"전국","세탁기",100.00,91.53,89.70,93.84,96.85
"전국","의류건조기",100.00,95.95,94.55,96.99,100.09
"전국","식기세척기",100.00,100.23,99.59,99.79,101.13
"전국","청소기",100.00,98.53,94.33,98.73,97.93
"전국","소형주방가전",100.00,101.00,104.33,113.66,110.19
"전국","TV",100.00,97.82,96.03,93.90,91.07
"전국","영상음향기기",100.00,97.71,99.99,100.82,100.26
"전국","컴퓨터",100.00,98.61,94.34,93.16,91.87
"전국","휴대용멀티미디어기기",100.00,99.07,100.51,118.46,117.18
